spread,n,h_n,h_hit,h_lo,a_n,a_hit,a_lo
-12.5,19,19,73.68421052631578,51.20803155892935,19,47.368421052631575,27.329505487448547
-10.5,25,25,76.0,56.56994004476144,25,76.0,56.56994004476144
-10.0,54,51,66.66666666666666,52.96812196648057,53,69.81132075471697,56.46291313003242
-9.5,29,29,75.86206896551724,57.892047781671295,29,68.96551724137932,50.76952952728146
-9.0,19,17,70.58823529411765,46.8664666737861,19,47.368421052631575,27.329505487448547
-8.5,25,25,68.0,48.40991373457671,25,68.0,48.40991373457671
-8.0,23,23,73.91304347826086,53.52960945624944,21,61.904761904761905,40.87829581550152
-7.5,55,55,63.63636363636363,50.422518148683714,55,65.45454545454545,52.253658010662626
-7.0,94,91,74.72527472527473,64.92012891565241,94,69.14893617021278,59.21412315417918
-6.5,74,74,67.56756756756756,56.26508503567352,74,75.67567567567568,64.79345618473262
-6.0,57,56,73.21428571428571,60.40519481066104,55,70.9090909090909,57.85902917965606
-5.5,59,59,69.49152542372882,56.853432740256174,59,66.10169491525424,53.37223255448901
-5.0,37,35,71.42857142857143,54.94475193017892,37,70.27027027027027,54.21656082795643
-4.5,53,53,71.69811320754717,58.429457999892264,53,64.15094339622641,50.690893299998805
-4.0,60,59,69.49152542372882,56.853432740256174,57,77.19298245614034,64.79374119255287
-3.5,112,112,68.75,59.66450103190315,112,71.42857142857143,62.46060903274925
-3.0,181,165,67.87878787878789,60.416908865273,180,77.77777777777779,71.15961997536944
-2.5,116,116,65.51724137931035,56.49527181283869,116,79.3103448275862,71.05757513659503
-2.0,44,42,52.38095238095239,37.72221394020704,44,86.36363636363636,73.29026247825904
-1.5,58,58,75.86206896551724,63.46977437031315,58,72.41379310344827,59.795100371646825
-1.0,77,77,66.23376623376623,55.12443936389646,76,71.05263157894737,60.04023269144307
0.0,15,15,86.66666666666667,62.11750079348376,15,73.33333333333333,48.04911034231324
1.0,76,70,74.28571428571429,62.97364802928457,76,67.10526315789474,55.94359811214032
1.5,50,50,78.0,64.75818431054044,50,78.0,64.75818431054044
2.0,31,30,83.33333333333334,66.43529481431982,31,64.51612903225806,46.9476380428149
2.5,86,86,73.25581395348837,63.05476035519365,86,68.6046511627907,58.17939831445498
3.0,141,141,70.2127659574468,62.209520376937576,131,72.51908396946564,64.315212742819
3.5,72,72,69.44444444444444,58.04553438658896,72,68.05555555555556,56.607434222033824
4.0,43,41,92.6829268292683,80.57225998278872,40,52.5,37.497106853929736
4.5,29,29,82.75862068965517,65.45119942718487,29,72.41379310344827,54.28252365556403
5.5,37,37,75.67567567567568,59.88239750929105,37,72.97297297297297,57.02152452607867
6.0,50,50,62.0,48.150195022393575,50,86.0,73.8135428014719
6.5,39,39,61.53846153846154,45.898781310078476,39,76.92307692307693,61.66343954261704
7.0,48,48,66.66666666666666,52.53984633247204,46,69.56521739130434,55.19408125976183
7.5,26,26,61.53846153846154,42.53452003942007,26,88.46153846153845,71.02370691310166
9.5,15,15,66.66666666666666,41.71312515121298,15,60.0,35.746442756507705
10.0,15,14,78.57142857142857,52.410276226791716,15,66.66666666666666,41.71312515121298
