total,n,o_n,o_hit,o_lo,u_n,u_hit,u_lo
36.5,16,16,43.75,23.09836333518552,16,87.5,63.97666856325173
37.0,22,22,68.18181818181817,47.318222782839335,22,68.18181818181817,47.318222782839335
37.5,19,19,78.94736842105263,56.66528575973392,19,42.10526315789473,23.14162039203038
38.0,18,18,55.55555555555556,33.716069428251636,16,68.75,44.403931866734055
38.5,25,25,64.0,44.51815460104663,25,64.0,44.51815460104663
39.0,24,23,82.6086956521739,62.86194521470433,23,65.21739130434783,44.88997690689164
39.5,46,46,63.04347826086957,48.59983314918478,46,80.43478260869566,66.8284622588308
40.0,49,46,73.91304347826086,59.740570191720686,48,60.416666666666664,46.310154596935114
40.5,57,57,66.66666666666666,53.72226902277747,57,66.66666666666666,53.72226902277747
41.0,65,63,80.95238095238095,69.59297958482789,64,62.5,50.25015331382642
41.5,72,72,56.94444444444444,45.44309920240597,72,77.77777777777779,66.90882726433144
42.0,69,67,67.16417910447761,55.25795678445592,68,69.11764705882352,57.362964387620075
42.5,80,80,80.0,69.95355220341885,80,61.25000000000001,50.29345562232477
43.0,87,82,56.09756097560976,45.322727057239916,84,73.80952380952381,63.51486149043319
43.5,112,112,70.53571428571429,61.52493563162677,112,66.07142857142857,56.89989507563177
44.0,87,86,66.27906976744185,55.78236301352326,85,76.47058823529412,66.43136684446009
44.5,136,136,69.11764705882352,60.91696672112019,136,62.5,54.12521912933481
45.0,91,87,65.51724137931035,55.0645767576964,91,72.52747252747253,62.58502470283997
45.5,111,111,70.27027027027027,61.20510566012109,111,63.96396396396396,54.70346275842797
46.0,89,85,70.58823529411765,60.1813482581798,87,66.66666666666666,56.242163269430144
46.5,107,107,67.28971962616822,57.93579178987817,107,72.89719626168224,63.79066413678491
47.0,93,89,65.1685393258427,54.829124068151344,92,76.08695652173914,66.43766513146701
47.5,91,91,69.23076923076923,59.13030988143508,91,60.43956043956044,50.16642594838488
48.0,81,79,63.29113924050633,52.27671409211199,81,69.1358024691358,58.401742072234356
48.5,86,86,73.25581395348837,63.05476035519365,86,68.6046511627907,58.17939831445498
49.0,63,60,70.0,57.491053033609575,63,66.66666666666666,54.367010134424135
49.5,61,61,65.57377049180327,53.049515420458384,61,67.21311475409836,54.721571181331264
50.0,40,40,60.0,44.5956198273935,40,82.5,68.04970794560755
50.5,37,37,72.97297297297297,57.02152452607867,37,67.56756756756756,51.46336850482393
51.0,47,45,66.66666666666666,52.0702168092554,47,59.57446808510638,45.34186823631264
51.5,43,43,69.76744186046511,54.89435424759017,43,60.46511627906976,45.57879659331908
52.0,31,31,70.96774193548387,53.407340042459325,29,72.41379310344827,54.28252365556403
52.5,20,20,75.0,53.12949900419365,20,70.0,48.102322377102055
53.0,24,23,69.56521739130434,49.133870939427396,24,75.0,55.10017468789356
53.5,20,20,80.0,58.39782779742401,20,50.0,29.92949144298199
54.0,20,20,65.0,43.285051021946465,20,50.0,29.92949144298199
55.0,21,19,47.368421052631575,27.329505487448547,21,85.71428571428571,65.36350585077048
